Category: Programming

Week,Django: (Worldwide),FastAPI: (Worldwide),Express js: (Worldwide),Ruby on Rails: (Worldwide),Flask: (Worldwide)
2022-06-05,40,7,10,97,19
2022-06-12,41,8,10,98,21
2022-06-19,43,8,11,98,20
2022-06-26,41,8,12,93,18
2022-07-03,41,7,10,89,20
2022-07-10,42,8,10,97,19
2022-07-17,41,7,10,95,19
2022-07-24,43,6,11,100,19
2022-07-31,44,10,10,95,19
2022-08-07,42,8,10,90,19
2022-08-14,39,6,10,95,17
2022-08-21,40,7,10,96,18
2022-08-28,37,9,10,98,19
2022-09-04,40,8,10,93,17
2022-09-11,38,7,9,94,17
2022-09-18,40,7,9,93,19
2022-09-25,40,8,9,93,16
2022-10-02,36,8,10,84,17
2022-10-09,39,7,11,83,17
2022-10-16,38,8,12,90,17
2022-10-23,39,8,10,86,18
2022-10-30,39,8,10,87,17
2022-11-06,40,9,11,89,17
2022-11-13,41,10,11,95,20
2022-11-20,38,8,11,86,19
2022-11-27,39,7,11,86,18
2022-12-04,34,9,11,83,21
2022-12-11,37,8,10,86,19
2022-12-18,38,9,11,86,16
2022-12-25,35,7,7,64,15
2023-01-01,37,7,10,72,17
2023-01-08,39,9,11,84,19
2023-01-15,40,9,10,87,19
2023-01-22,40,9,9,86,17
2023-01-29,40,8,11,96,19
2023-02-05,39,9,11,94,17
2023-02-12,40,9,11,94,16
2023-02-19,37,11,11,88,19
2023-02-26,39,10,12,88,18
2023-03-05,40,8,11,87,18
2023-03-12,35,8,9,84,17
2023-03-19,37,9,12,84,18
2023-03-26,37,10,11,85,19
2023-04-02,34,8,10,79,16
2023-04-09,39,10,11,79,17
2023-04-16,36,8,8,81,19
2023-04-23,36,10,10,82,20
2023-04-30,32,7,10,63,18
2023-05-07,35,10,11,80,18
2023-05-14,34,9,11,81,18
2023-05-21,33,11,11,87,17
2023-05-28,21,3,7,34,13
