Category: Programming

Week,Rust: (Worldwide),Go: (Worldwide),Express: (Worldwide),Ruby on Rails: (Worldwide),Julia: (Worldwide)
2022-06-05,34,97,31,88,5
2022-06-12,33,94,30,88,6
2022-06-19,37,98,32,89,7
2022-06-26,39,89,33,84,6
2022-07-03,40,93,33,81,6
2022-07-10,35,89,29,88,6
2022-07-17,41,100,33,86,6
2022-07-24,38,100,32,91,5
2022-07-31,39,99,30,86,6
2022-08-07,37,94,30,82,6
2022-08-14,37,98,31,86,5
2022-08-21,36,89,31,87,5
2022-08-28,37,94,32,89,5
2022-09-04,35,86,31,84,6
2022-09-11,35,92,32,85,6
2022-09-18,42,94,32,85,6
2022-09-25,41,94,31,84,5
2022-10-02,39,80,32,76,6
2022-10-09,40,90,32,75,5
2022-10-16,40,95,34,81,6
2022-10-23,43,95,31,78,7
2022-10-30,41,95,31,78,7
2022-11-06,47,94,33,81,6
2022-11-13,44,96,34,86,7
2022-11-20,40,82,31,78,5
2022-11-27,40,89,32,77,6
2022-12-04,52,91,31,75,7
2022-12-11,50,89,31,78,7
2022-12-18,45,78,30,78,5
2022-12-25,41,64,24,58,5
2023-01-01,42,73,28,65,5
2023-01-08,43,85,31,76,5
2023-01-15,40,82,31,78,5
2023-01-22,40,77,31,78,6
2023-01-29,48,96,32,87,6
2023-02-05,43,97,32,85,5
2023-02-12,46,92,34,85,5
2023-02-19,42,94,32,79,6
2023-02-26,42,92,31,79,6
2023-03-05,47,93,32,79,6
2023-03-12,47,93,31,76,5
2023-03-19,40,88,30,76,6
2023-03-26,42,84,30,77,5
2023-04-02,39,76,29,71,5
2023-04-09,40,85,32,71,7
2023-04-16,41,78,28,73,6
2023-04-23,38,83,30,74,6
2023-04-30,42,69,29,57,5
2023-05-07,41,79,31,72,7
2023-05-14,38,79,29,74,5
2023-05-21,39,82,32,79,5
2023-05-28,30,32,19,31,5
